sample,calendar_date
1,2020-03-04
2,2020-04-07
3,2020-03-26
4,2020-06-08
5,2020-06-21
6,2020-05-05
7,2020-05-08
8,2020-05-01
9,2020-05-01
10,2020-05-05
11,2020-04-24
12,2020-05-06
13,2020-05-01
14,2020-06-18
15,2020-06-14
16,2020-06-30
17,2020-07-10
18,2020-06-09
19,2020-06-06
20,2020-06-28
21,2020-05-26
22,2020-06-28
23,2020-05-26
24,2020-06-23
25,2020-06-16
26,2020-07-09
27,2020-06-23
28,2020-06-14
29,2020-05-20
30,2020-05-22
31,2020-06-22
32,2020-06-23
33,2020-06-15
34,2020-05-24
35,2020-05-16
36,2020-07-08
37,2020-06-03
38,2020-05-17
39,2020-07-03
40,2020-05-18
41,2020-05-27
42,2020-05-27
43,2020-05-16
44,2020-05-23
45,2020-05-22
46,2020-05-25
47,2020-06-02
48,2020-07-02
49,2020-05-27
50,2020-05-30
51,2020-06-06
52,2020-06-10
53,2020-05-15
54,2020-05-27
55,2020-06-21
56,2020-06-18
57,2020-06-16
58,2020-05-15
59,2020-06-12
60,2020-06-05
61,2020-05-31
62,2020-06-12
63,2020-06-27
64,2020-05-17
65,2020-05-31
66,2020-06-01
67,2020-07-28
68,2020-07-11
69,2020-06-30
70,2020-06-22
71,2020-07-17
72,2020-07-16
73,2020-07-27
74,2020-06-30
75,2020-07-01
76,2020-07-26
77,2020-07-25
78,2020-06-26
79,2020-06-22
80,2020-07-29
81,2020-06-24
82,2020-06-17
83,2020-06-13
84,2020-07-18
85,2020-06-25
86,2020-07-21
87,2020-06-20
88,2020-06-26
89,2020-06-18
90,2020-07-01
91,2020-07-11
92,2020-06-27
93,2020-07-20
94,2020-07-26
95,2020-07-06
96,2020-07-02
97,2020-06-29
98,2020-07-09
99,2020-07-03
100,2020-07-21
101,2020-07-14
102,2020-06-15
103,2020-06-28
104,2020-07-07
105,2020-06-30
106,2020-07-07
107,2020-06-07
108,2020-06-21
109,2020-06-15
110,2020-06-24
111,2020-06-27
112,2020-06-11
113,2020-07-17
114,2020-06-13
115,2020-07-19
116,2020-06-22
117,2020-06-25
118,2020-07-26
119,2020-07-23
120,2020-07-20
121,2020-07-27
122,2020-07-04
123,2020-07-12
124,2020-06-18
125,2020-06-26
126,2020-06-09
127,2020-06-23
128,2020-07-27
129,2020-06-30
130,2020-06-07
131,2020-06-12
132,2020-05-29
133,2020-07-11
134,2020-07-12
135,2020-07-09
136,2020-06-09
137,2020-06-29
138,2020-07-10
139,2020-06-19
140,2020-06-24
141,2020-06-27
142,2020-06-16
143,2020-07-14
144,2020-07-20
145,2020-06-12
146,2020-07-05
147,2020-07-27
148,2020-07-10
149,2020-07-04
150,2020-07-08
151,2020-07-06
152,2020-07-27
153,2020-07-15
154,2020-07-21
155,2020-07-29
156,2020-06-21
157,2020-06-17
158,2020-07-13
159,2020-06-21
160,2020-06-16
161,2020-07-11
162,2020-06-27
163,2020-06-22
164,2020-06-22
165,2020-06-14
166,2020-06-12
167,2020-06-23
168,2020-06-22
169,2020-07-11
170,2020-07-18
171,2020-07-08
172,2020-07-21
173,2020-06-29
174,2020-06-16
175,2020-06-21
176,2020-07-04
177,2020-06-22
178,2020-06-24
179,2020-06-21
180,2020-06-27
181,2020-07-08
182,2020-07-20
183,2020-06-30
184,2020-07-25
185,2020-07-06
186,2020-06-25
187,2020-07-14
188,2020-07-08
189,2020-06-03
190,2020-07-11
191,2020-07-24
192,2020-07-10
193,2020-07-22
194,2020-07-10
195,2020-07-10
196,2020-06-30
197,2020-07-24
198,2020-06-29
199,2020-07-12
200,2020-07-03
201,2020-07-11
202,2020-06-04
203,2020-07-22
204,2020-06-19
205,2020-07-05
206,2020-07-04
207,2020-07-03
208,2020-07-09
209,2020-06-25
210,2020-05-31
211,2020-06-28
212,2020-06-27
213,2020-07-13
214,2020-07-02
215,2020-06-24
216,2020-06-27
217,2020-06-26
218,2020-06-11
219,2020-05-31
220,2020-06-18
221,2020-07-15
222,2020-07-28
223,2020-06-01
224,2020-07-14
225,2020-06-08
226,2020-07-10
227,2020-06-27
228,2020-06-28
229,2020-06-26
230,2020-06-27
231,2020-06-20
232,2020-07-25
233,2020-07-08
234,2020-06-30
235,2020-06-24
236,2020-07-11
237,2020-07-12
238,2020-06-22
239,2020-06-26
240,2020-06-16
241,2020-06-28
242,2020-07-04
243,2020-07-14
244,2020-07-23
245,2020-07-05
246,2020-07-12
247,2020-07-18
248,2020-07-20
249,2020-07-10
250,2020-07-18
251,2020-07-25
252,2020-07-19
253,2020-07-22
254,2020-07-24
255,2020-07-15
256,2020-06-29
257,2020-06-25
258,2020-06-17
259,2020-05-29
260,2020-07-02
261,2020-07-12
262,2020-06-17
263,2020-07-04
264,2020-06-21
265,2020-07-02
266,2020-06-09
267,2020-06-21
268,2020-06-13
269,2020-07-07
270,2020-07-03
271,2020-06-16
272,2020-07-05
273,2020-07-25
274,2020-07-24
275,2020-07-29
276,2020-07-29
277,2020-07-29
278,2020-07-21
279,2020-07-28
280,2020-07-29
281,2020-07-28
282,2020-07-19
283,2020-07-20
284,2020-07-25
285,2020-07-19
286,2020-07-28
287,2020-07-28
288,2020-07-27
289,2020-07-27
290,2020-07-26
291,2020-07-27
292,2020-07-29
293,2020-07-19
294,2020-07-29
295,2020-07-21
296,2020-07-29
297,2020-07-09
298,2020-07-29
299,2020-07-11
300,2020-07-13
301,2020-07-05
302,2020-07-26
303,2020-07-27
304,2020-07-20
305,2020-07-20
306,2020-07-02
307,2020-06-22
308,2020-07-15
309,2020-07-20
310,2020-07-14
311,2020-07-28
312,2020-07-23
313,2020-07-27
314,2020-07-25
315,2020-07-27
316,2020-07-25
317,2020-07-15
318,2020-06-28
319,2020-06-27
320,2020-07-20
321,2020-06-30
322,2020-07-18
323,2020-07-15
324,2020-07-28
325,2020-07-19
326,2020-07-24
327,2020-06-29
328,2020-07-11
329,2020-07-14
330,2020-07-26
331,2020-07-04
332,2020-07-25
333,2020-07-11
334,2020-07-12
335,2020-07-15
336,2020-07-29
337,2020-07-29
338,2020-07-21
339,2020-07-16
340,2020-07-12
341,2020-07-24
342,2020-07-26
343,2020-07-15
344,2020-07-25
345,2020-07-27
346,2020-07-25
347,2020-07-20
348,2020-07-10
349,2020-07-12
350,2020-07-18
351,2020-07-14
352,2020-06-30
353,2020-07-20
354,2020-07-20
355,2020-07-18
356,2020-07-21
357,2020-07-06
358,2020-07-18
359,2020-07-22
360,2020-06-29
361,2020-07-22
362,2020-07-20
363,2020-07-28
364,2020-07-11
365,2020-07-25
366,2020-07-10
367,2020-06-30
368,2020-07-23
369,2020-07-08
370,2020-07-23
371,2020-07-22
372,2020-07-19
373,2020-07-24
374,2020-06-23
375,2020-07-05
376,2020-07-20
377,2020-07-28
378,2020-07-10
379,2020-07-07
380,2020-06-27
381,2020-07-03
382,2020-07-15
383,2020-07-27
384,2020-06-22
385,2020-07-24
386,2020-07-07
387,2020-07-25
388,2020-07-02
389,2020-07-11
390,2020-07-23
391,2020-07-06
392,2020-07-25
393,2020-07-17
394,2020-07-22
395,2020-07-23
396,2020-07-16
397,2020-07-28
398,2020-07-22
399,2020-07-04
400,2020-07-11
401,2020-07-28
402,2020-07-27
403,2020-07-19
404,2020-07-25
405,2020-07-25
406,2020-07-20
407,2020-07-13
408,2020-07-26
409,2020-07-23
410,2020-07-11
411,2020-07-14
412,2020-07-09
413,2020-07-11
414,2020-07-28
415,2020-07-25
416,2020-07-16
417,2020-07-25
418,2020-07-28
419,2020-07-18
420,2020-07-18
421,2020-07-25
422,2020-07-29
423,2020-07-10
424,2020-06-25
425,2020-07-27
426,2020-07-16
427,2020-07-01
428,2020-07-29
429,2020-07-01
430,2020-07-09
431,2020-07-22
432,2020-07-10
433,2020-07-28
434,2020-06-27
435,2020-06-30
436,2020-06-29
437,2020-07-18
438,2020-07-07
439,2020-06-30
440,2020-07-13
441,2020-07-29
442,2020-07-25
443,2020-06-25
444,2020-07-01
445,2020-07-09
446,2020-07-12
447,2020-07-19
448,2020-07-16
449,2020-07-19
450,2020-07-23
451,2020-07-28
452,2020-07-24
453,2020-07-20
454,2020-07-29
455,2020-07-24
456,2020-07-29
457,2020-07-26
458,2020-07-23
459,2020-07-19
460,2020-07-18
461,2020-07-18
462,2020-07-28
463,2020-07-18
464,2020-07-18
465,2020-07-16
466,2020-07-26
467,2020-07-11
468,2020-07-27
469,2020-06-30
470,2020-07-12
471,2020-07-19
472,2020-07-20
473,2020-07-11
474,2020-07-11
475,2020-07-12
476,2020-07-19
477,2020-07-13
478,2020-07-22
479,2020-07-18
480,2020-07-25
481,2020-07-26
482,2020-07-07
483,2020-07-11
484,2020-07-03
485,2020-07-16
486,2020-07-24
487,2020-07-25
488,2020-07-08
489,2020-07-14
490,2020-07-17
491,2020-07-10
492,2020-06-15
493,2020-07-18
494,2020-07-10
495,2020-07-27
496,2020-07-11
497,2020-07-27
498,2020-07-27
499,2020-07-14
500,2020-07-18
501,2020-07-25
502,2020-07-17
503,2020-07-28
504,2020-07-10
505,2020-07-26
506,2020-07-20
507,2020-07-28
508,2020-07-22
509,2020-07-15
510,2020-07-23
511,2020-07-22
512,2020-07-19
513,2020-07-02
514,2020-07-15
515,2020-06-28
516,2020-06-10
517,2020-07-22
518,2020-07-20
519,2020-06-26
520,2020-07-28
521,2020-07-19
522,2020-07-11
523,2020-07-17
524,2020-06-27
525,2020-07-12
526,2020-07-27
527,2020-07-26
528,2020-07-11
529,2020-07-15
530,2020-07-14
531,2020-07-28
532,2020-07-11
533,2020-07-27
534,2020-07-29
535,2020-07-17
536,2020-07-09
537,2020-07-20
538,2020-07-19
539,2020-07-26
540,2020-07-03
541,2020-07-03
542,2020-07-05
543,2020-07-24
544,2020-07-14
545,2020-07-11
546,2020-07-25
547,2020-07-21
548,2020-07-20
549,2020-07-25
550,2020-07-18
551,2020-07-23
552,2020-07-21
553,2020-07-12
554,2020-07-28
555,2020-07-16
556,2020-07-11
557,2020-07-28
558,2020-07-23
559,2020-07-03
560,2020-07-16
561,2020-07-21
562,2020-07-10
563,2020-07-29
564,2020-07-20
565,2020-07-18
566,2020-07-17
567,2020-07-12
568,2020-07-19
569,2020-07-10
570,2020-07-27
571,2020-07-15
572,2020-07-11
573,2020-07-08
574,2020-07-21
575,2020-07-08
576,2020-07-07
577,2020-07-10
578,2020-07-21
579,2020-07-25
580,2020-07-21
581,2020-07-23
